species,sub_tsn,acc_tsn,syn_author,syn_name,syn_tsn,acc_name,acc_author
Fumaria densiflora,NA,NA,NA,NA,NA,NA,NA
Fumaria kralikii,NA,NA,NA,NA,NA,NA,NA
Fumaria petteri,NA,NA,NA,NA,NA,NA,NA
Fumaria schleicheri,NA,NA,NA,NA,NA,NA,NA
Fumaria sepium,NA,NA,NA,NA,NA,NA,NA
Gagea granulosa,NA,NA,NA,NA,NA,NA,NA
Gagea minima,NA,NA,NA,NA,NA,NA,NA
Gahnia aspera subsp. globosa,NA,NA,NA,NA,NA,NA,NA
Galactites tomentosa,NA,NA,NA,NA,NA,NA,NA
Galanthus alpinus,NA,NA,NA,NA,NA,NA,NA
Galanthus plicatus,NA,NA,NA,NA,NA,NA,NA
Galanthus reginae-olgae,NA,NA,NA,NA,NA,NA,NA
Galanthus woronowii,NA,NA,NA,NA,NA,NA,NA
Galatella dracunculoides,NA,NA,NA,NA,NA,NA,NA
Galega orientalis,NA,NA,NA,NA,NA,NA,NA
Galium verticillatum,NA,NA,NA,NA,NA,NA,NA
Gamochaeta filaginea,NA,NA,NA,NA,NA,NA,NA
Genista hispanica,NA,NA,NA,NA,NA,NA,NA
Genista januensis,NA,NA,NA,NA,NA,NA,NA
Genista numidica,NA,NA,NA,NA,NA,NA,NA
Gentiana clusii,NA,NA,NA,NA,NA,NA,NA
Geranium berteroanum,NA,NA,NA,NA,NA,NA,NA
Geranium himalayense,NA,NA,NA,NA,NA,NA,NA
Geranium psilostemon,NA,NA,NA,NA,NA,NA,NA
Geranium yeoi,NA,NA,NA,NA,NA,NA,NA
Gladiolus carneus,NA,NA,NA,NA,NA,NA,NA
Gladiolus palustris,NA,NA,NA,NA,NA,NA,NA
Globularia punctata,NA,NA,NA,NA,NA,NA,NA
Glossostigma elatinoides,NA,NA,NA,NA,NA,NA,NA
Glycosmis pentaphylla,NA,NA,NA,NA,NA,NA,NA
Gnaphalium gaudichaudianum,NA,NA,NA,NA,NA,NA,NA
Gnaphalium involucratum var. simplex,NA,NA,NA,NA,NA,NA,NA
Goldbachia laevigata,NA,NA,NA,NA,NA,NA,NA
Goniolimon tataricum,NA,NA,NA,NA,NA,NA,NA
Graptopetalum paraguayense,NA,NA,NA,NA,NA,NA,NA
Gymnocoronis spilanthoides,NA,NA,NA,NA,NA,NA,NA
Gypsophila tubulosa,NA,NA,NA,NA,NA,NA,NA
Hakea gibbosa,NA,NA,NA,NA,NA,NA,NA
Hakea sericea,NA,NA,NA,NA,NA,NA,NA
Halophila stipulacea,NA,NA,NA,NA,NA,NA,NA
Harpachne schimperi,NA,NA,NA,NA,NA,NA,NA
Helenium mexicanum,NA,NA,NA,NA,NA,NA,NA
Helianthemum syriacum,NA,NA,NA,NA,NA,NA,NA
Helichrysum arenarium,NA,NA,NA,NA,NA,NA,NA
Helichrysum orientale,NA,NA,NA,NA,NA,NA,NA
Helichrysum serpyllifolium var. orbiculare,NA,NA,NA,NA,NA,NA,NA
Helictotrichon pratense,NA,NA,NA,NA,NA,NA,NA
Heliocarpus donnellsmithii,NA,NA,NA,NA,NA,NA,NA
Heliotropium dolosum,NA,NA,NA,NA,NA,NA,NA
Hemarthria compressa,NA,NA,NA,NA,NA,NA,NA
Hemerocallis yezoensis,NA,NA,NA,NA,NA,NA,NA
Heracleum persicum,NA,NA,NA,NA,NA,NA,NA
Heteranthera zosterifolia,NA,NA,NA,NA,NA,NA,NA
Hieracium amplexicaule,NA,NA,NA,NA,NA,NA,NA
Hieracium amplexicaule subsp. pulmonarioides,NA,NA,NA,NA,NA,NA,NA
Hieracium amplexicaule subsp. spelaeum,NA,NA,NA,NA,NA,NA,NA
Hieracium bathycephalum,NA,NA,NA,NA,NA,NA,NA
Hieracium glaucinum subsp. similatum,NA,NA,NA,NA,NA,NA,NA
Hieracium pannosum,NA,NA,NA,NA,NA,NA,NA
Hieracium tomentosum,NA,NA,NA,NA,NA,NA,NA
Hordeum turkestanicum,NA,NA,NA,NA,NA,NA,NA
Hyacinthella leucophaea var. rumelica,NA,NA,NA,NA,NA,NA,NA
Hydrocotyle leucocephala,NA,NA,NA,NA,NA,NA,NA
Hydrocotyle novae-zelandiae,NA,NA,NA,NA,NA,NA,NA
Hydrocotyle ramiflora,NA,NA,NA,NA,NA,NA,NA
Hydrotriche hottoniiflora,NA,NA,NA,NA,NA,NA,NA
Hylomecon vernalis,NA,NA,NA,NA,NA,NA,NA
Hyoscyamus pusillus,NA,NA,NA,NA,NA,NA,NA
Hypericum forrestii,NA,NA,NA,NA,NA,NA,NA
Hypericum nummularium,NA,NA,NA,NA,NA,NA,NA
Hypericum perfoliatum,NA,NA,NA,NA,NA,NA,NA
Hypericum xylosteifolium,NA,NA,NA,NA,NA,NA,NA
Iberis semperflorens,NA,NA,NA,NA,NA,NA,NA
Inula conyza,NA,NA,NA,NA,NA,NA,NA
Inula ensifolia,NA,NA,NA,NA,NA,NA,NA
Inula germanica,NA,NA,NA,NA,NA,NA,NA
Inula hirta,NA,NA,NA,NA,NA,NA,NA
Inula spiraeifolia,NA,NA,NA,NA,NA,NA,NA
Ionopsidium albiflorum,NA,NA,NA,NA,NA,NA,NA
Iris chrysographes,NA,NA,NA,NA,NA,NA,NA
Iris japonica,NA,NA,NA,NA,NA,NA,NA
Ixia dubia,NA,NA,NA,NA,NA,NA,NA
Jacobaea erratica,NA,NA,NA,NA,NA,NA,NA
Jasminum beesianum,NA,NA,NA,NA,NA,NA,NA
Juncus radula,NA,NA,NA,NA,NA,NA,NA
Juncus striatus,NA,NA,NA,NA,NA,NA,NA
Juncus subulatus,NA,NA,NA,NA,NA,NA,NA
Kalanchoe beharensis,NA,NA,NA,NA,NA,NA,NA
Kalanchoe longiflora,NA,NA,NA,NA,NA,NA,NA
Kalanchoe prolifera,NA,NA,NA,NA,NA,NA,NA
Kickxia cirrhosa,NA,NA,NA,NA,NA,NA,NA
Kickxia commutata,NA,NA,NA,NA,NA,NA,NA
Klasea quinquefolia,NA,NA,NA,NA,NA,NA,NA
Kleinia neriifolia,NA,NA,NA,NA,NA,NA,NA
Knautia integrifola,NA,NA,NA,NA,NA,NA,NA
Knautia macedonica,NA,NA,NA,NA,NA,NA,NA
Kochia indica,NA,NA,NA,NA,NA,NA,NA
Koeleria grandis,NA,NA,NA,NA,NA,NA,NA
Kundmannia sicula,NA,NA,NA,NA,NA,NA,NA
Kyllinga polyphylla,NA,NA,NA,NA,NA,NA,NA
Lactuca perennis,NA,NA,NA,NA,NA,NA,NA
Lagenandra ovata,NA,NA,NA,NA,NA,NA,NA
Lagenandra thwaitesii,NA,NA,NA,NA,NA,NA,NA
Lamium galeobdolon fo. argentatum,NA,NA,NA,NA,NA,NA,NA
Lamium purpureum var. moluccellifolium,NA,NA,NA,NA,NA,NA,NA
Lampranthus deltoides,NA,NA,NA,NA,NA,NA,NA
Lantana x strigocamara,NA,NA,NA,NA,NA,NA,NA
Lappula barbata,NA,NA,NA,NA,NA,NA,NA
Laserpitium archangelica,NA,NA,NA,NA,NA,NA,NA
Laserpitium siler,NA,NA,NA,NA,NA,NA,NA
Lathyrus setifolius,NA,NA,NA,NA,NA,NA,NA
Lavandula viridis,NA,NA,NA,NA,NA,NA,NA
Leersia japonica,NA,NA,NA,NA,NA,NA,NA
Legousia scabra,NA,NA,NA,NA,NA,NA,NA
Leontice leontopetalum,NA,NA,NA,NA,NA,NA,NA
Lepidium spinosum,NA,NA,NA,NA,NA,NA,NA
Leptinella dioica,NA,NA,NA,NA,NA,NA,NA
Libertia chilensis,NA,NA,NA,NA,NA,NA,NA
Libertia sessiliflora,NA,NA,NA,NA,NA,NA,NA
Ligustrum henryi,NA,NA,NA,NA,NA,NA,NA
Ligustrum robustum subsp. walkeri,NA,NA,NA,NA,NA,NA,NA
Lilaeopsis brasiliensis,NA,NA,NA,NA,NA,NA,NA
Lilium monadelphum,NA,NA,NA,NA,NA,NA,NA
Lilium pyrenaicum,NA,NA,NA,NA,NA,NA,NA
Limnophila chinensis,NA,NA,NA,NA,NA,NA,NA
Limonium meyeri,NA,NA,NA,NA,NA,NA,NA
Limonium platyphyllum,NA,NA,NA,NA,NA,NA,NA
Linaria arenaria,NA,NA,NA,NA,NA,NA,NA
Linaria arvensis,NA,NA,NA,NA,NA,NA,NA
Linaria caesia,NA,NA,NA,NA,NA,NA,NA
Linaria chalepensis,NA,NA,NA,NA,NA,NA,NA
Linaria hirta,NA,NA,NA,NA,NA,NA,NA
Linaria pelisseriana,NA,NA,NA,NA,NA,NA,NA
Linaria reflexa,NA,NA,NA,NA,NA,NA,NA
Linaria triornithophora,NA,NA,NA,NA,NA,NA,NA
Lindernia anagallis,NA,NA,NA,NA,NA,NA,NA
Lindernia rotundifolia,NA,NA,NA,NA,NA,NA,NA
Lisaea heterocarpa,NA,NA,NA,NA,NA,NA,NA
Lobelia pedunculata,NA,NA,NA,NA,NA,NA,NA
Lobelia urens,NA,NA,NA,NA,NA,NA,NA
Lobularia libyca,NA,NA,NA,NA,NA,NA,NA
Lonchocarpus sericeus,NA,NA,NA,NA,NA,NA,NA
Lonicera confusa,NA,NA,NA,NA,NA,NA,NA
Lotus biflorus,NA,NA,NA,NA,NA,NA,NA
Lotus drepanocarpus,NA,NA,NA,NA,NA,NA,NA
Ludwigia helminthorrhiza,NA,NA,NA,NA,NA,NA,NA
Ludwigia inclinata,NA,NA,NA,NA,NA,NA,NA
Ludwigia ovalis,NA,NA,NA,NA,NA,NA,NA
Ludwigia perennis,NA,NA,NA,NA,NA,NA,NA
Lycopus exaltatus,NA,NA,NA,NA,NA,NA,NA
Lysimachia atropurpurea,NA,NA,NA,NA,NA,NA,NA
Lythrum borysthenicum,NA,NA,NA,NA,NA,NA,NA
Lythrum junceum,NA,NA,NA,NA,NA,NA,NA
