name,occurrences
Chrysanthemum leucanthemum subsp. triviale,1
Chrysanthemum leucanthemum var. adustum,1
Chrysanthemum leucanthemum var. affine,0
Chrysanthemum leucanthemum var. amplifolium,0
Chrysanthemum leucanthemum var. auriculatum,0
Chrysanthemum leucanthemum var. autumnale,0
Chrysanthemum leucanthemum var. boecheri,0
Chrysanthemum leucanthemum var. coronopifolium,0
Chrysanthemum leucanthemum var. crassifolium,0
Chrysanthemum leucanthemum var. denudatum,0
Chrysanthemum leucanthemum var. discoideum,0
Chrysanthemum leucanthemum var. eradiatum,0
Chrysanthemum leucanthemum var. hispidum,0
Chrysanthemum leucanthemum var. laciniatum,0
Chrysanthemum leucanthemum var. lanceolatum,0
Chrysanthemum leucanthemum var. latifolium,0
Chrysanthemum leucanthemum var. maximum,0
Chrysanthemum leucanthemum var. pallens,0
Chrysanthemum leucanthemum var. pinnatifidum,55
Chrysanthemum leucanthemum var. subpinnatifidum,1
Chrysanthemum leucanthemum var. sylvestre,0
Chrysanthemum leucanthemum var. typicum,0
Chrysanthemum leucanthemum var. vulgare,0
Chrysanthemum margaritae,0
Chrysanthemum maximum,14
Chrysanthemum montanum var. adustum,0
Chrysanthemum montanum var. heterophyllum,0
Chrysanthemum montanum var. saxicola,0
Chrysanthemum pallens,0
Chrysanthemum pratense,0
Chrysanthemum sylvaticum,0
Chrysanthemum sylvestre,0
Chrysanthemum vulgare,0
Chrysopogon aciculatus var. longifolius,0
Chrysopogon subulatus,0
Chrysopogon trivialis,0
Chrysopsis lamarckii,0
Chrysopsis scabra,0
Cieca glabrata,0
Claytonia paniculata,0
Claytonia patens,0
Claytonia reflexa,0
Claytonia sarmentosa,426
Cleome acuta,0
Cleome affinis,0
Cleome alliacea,0
Cleome alliodora,0
Cleome blumeana,0
Cleome bungei,0
Cleome candelabrum,0
Cleome denticulata,0
Cleome eckloniana,0
Cleome edulis,0
Cleome flexuosa,0
Cleome gynandra,1236
Cleome hassleriana,208
Cleome heterotricha,0
Cleome muricata,0
Cleome palmipes,1
Cleome pentaphylla,0
Cleome triphylla,0
Clerodendrum foetidum,0
Clerodendrum yatschuense,0
Clinopodium arugosum,0
Cochlearia aquatica,0
Cochlearia armoracia var. aquatica,0
Cochlearia humifusa,0
Coix angulatus,0
Coix dactyloides,0
Colesu scutellarioides var. gibbsiae,0
Coleus acuminatus,2
Coleus atropurpureus,15
Coleus atropurpureus var. densiflorus,0
Coleus atropurpureus var. javanicus,0
Coleus atropurpureus var. ramosus,0
Coleus batemannii,0
Coleus bausei,0
Coleus berkeleyi,0
Coleus blancoi,0
Coleus blumei,61
Coleus blumei var. marshallii,0
Coleus blumei var. murrayi,0
Coleus blumei var. pectinatus,0
Coleus blumei var. telfordii,0
Coleus clarkii,0
Coleus crispipilus,1
Coleus dixii,0
Coleus formosanus,13
Coleus gaudichaudii,0
Coleus gibbsiae,0
Coleus gibsonii,0
Coleus grandifolius,0
Coleus hendersonii,0
Coleus hybridus,4
Coleus igolotorum,0
Coleus ingratus,0
Coleus integrifolius,3
Coleus laciniatus,0
Coleus macranthus var. crispipilus,0
Coleus marmoratus,0
Coleus marshallii,0
Coleus multicolor,0
Coleus multiflorus,5
Coleus murrayi,0
Coleus pubescens,3
Coleus pumilus,5
Coleus reevesii,0
Coleus rehneltianus,0
Coleus ruckeri,0
Coleus saundersii,0
Coleus savannicola,0
Coleus scottii,0
Coleus scutellarioides var. angustifolia,1
Coleus scutellarioides var. blumei,0
Coleus scutellarioides var. celebicus,0
Coleus scutellarioides var. crispipilus,31
Coleus scutellarioides var. gracilis,0
Coleus scutellarioides var. grandifolius,0
Coleus scutellarioides var. ingratus,0
Coleus scutellarioides var. integrifolius,0
Coleus scutellarioides var. laciniatus,0
