Name_submitted	Name_matched	Author_matched	Overall_score	Taxonomic_status	Accepted_name	Accepted_author	Accepted_family	Source	Warnings	Accepted_name_lsid
Bambusa bambos	Bambusa bambos		1	Accepted	Bambusa bambos	(L.) Voss [excluded]	Poaceae	usda	 	
Barleria prionitis	Barleria prionitis		1	Accepted	Barleria prionitis	L.	Acanthaceae	tpl;tropicos;usda	 	
Barringtonia asiatica	Barringtonia asiatica		1	Accepted	Barringtonia asiatica	(L.) Kurz	Lecythidaceae	tpl;tropicos;usda	 	
Bassia hyssopifolia	Bassia hyssopifolia		1	Accepted	Bassia hyssopifolia	(Pall.) Kuntze	Amaranthaceae	tpl;tropicos	 	
Bassia hyssopifolia	Bassia hyssopifolia		1	Invalid				tropicos	 	
Bassia hyssopifolia	Bassia hyssopifolia		1	Accepted	Bassia hyssopifolia	(Pall.) Kuntz	Amaranthaceae	usda	 	
Bauhinia tomentosa	Bauhinia tomentosa		1	No opinion				tpl	 	
Bauhinia tomentosa	Bauhinia tomentosa		1	Accepted	Bauhinia tomentosa	L.	Fabaceae	ildis;tropicos;usda	 	
Bauhinia tomentosa	Bauhinia tomentosa		1	Synonym	Bauhinia microstachya	(Raddi)J.F.Macbr.	Fabaceae	ildis	 [Ambiguous match] 	
Bauhinia tomentosa	Bauhinia tomentosa		1	Misapplied	Bauhinia acuminata	L.	Fabaceae	ildis	 	
Bauhinia tomentosa	Bauhinia tomentosa		1	Illegitimate				tropicos	 [Ambiguous match] 	
Bauhinia tomentosa	Bauhinia tomentosa		1	Illegitimate		(Raddi)J.F.Macbr.	Fabaceae	tropicos	 [Ambiguous match] 	
Biscutella didyma	Biscutella didyma		1	Accepted	Biscutella didyma	L.	Brassicaceae	tpl;tropicos	 	
Biscutella didyma	Biscutella didyma		1	Synonym	Megacarpaea megalocarpa	(Fisch. ex DC.) Schischk. ex B.Fedtsch.	Brassicaceae	tpl	 	
Biscutella didyma	Biscutella didyma		1	Synonym	Megacarpaea megalocarpa	(Fisch. ex DC.) Schischk. ex B. Fedtsch.	Brassicaceae	tropicos	 	
Bocconia frutescens	Bocconia frutescens		1	Accepted	Bocconia frutescens	L.	Papaveraceae	tpl;tropicos;usda	 	
Boehmeria penduliflora	Boehmeria penduliflora		1	Accepted	Boehmeria penduliflora	Wedd. ex D.G.Long	Urticaceae	tpl	 	
Boehmeria penduliflora	Boehmeria penduliflora		1	Accepted	Boehmeria penduliflora	Wedd. ex D.G. Long	Urticaceae	tropicos	 	
Borreria latifolia	Borreria latifolia		1	Synonym	Spermacoce alata	Aubl.	Rubiaceae	tpl	 	
Borreria latifolia	Borreria latifolia		1	Synonym	Spermacoce alata	Aubl.	Rubiaceae	tropicos	 	
Brachiaria paspaloides	Brachiaria paspaloides		1	Synonym	Urochloa glumaris	(Trin.) Veldkamp	Poaceae	tpl	 	
Brachiaria paspaloides	Brachiaria paspaloides		1	Synonym	Urochloa paspaloides	J. Presl	Poaceae	tropicos	 	
Brachypodium distachyon	Brachypodium distachyon		1	Accepted	Brachypodium distachyon	(L.) P.Beauv.	Poaceae	tpl	 	
Brachypodium distachyon	Brachypodium distachyon		1	Synonym	Brachypodium distachyon	(L.) P.Beauv.	Poaceae	tpl	 	
Brachypodium distachyon	Brachypodium distachyon		1	Accepted	Brachypodium distachyon	(L.) P. Beauv.	Poaceae	tropicos;usda	 	
Brachypodium distachyon	Brachypodium distachyon		1	Illegitimate				tropicos	 	
Brachypodium sylvaticum	Brachypodium sylvaticum		1	Accepted	Brachypodium sylvaticum	(Huds.) P.Beauv.	Poaceae	tpl	 	
Brachypodium sylvaticum	Brachypodium sylvaticum		1	Accepted	Brachypodium sylvaticum	(Huds.) P. Beauv.	Poaceae	tropicos;usda	 	
Brassica procumbens	Brassica procumbens		1	Accepted	Brassica procumbens	(Poir.) O.E.Schulz	Brassicaceae	tpl	 	
Brassica procumbens	Brassica procumbens		1	Accepted	Brassica procumbens	O.E. Schulz	Brassicaceae	tropicos	 	
Brassica tournefortii	Brassica tournefortii		1	Accepted	Brassica tournefortii	Gouan	Brassicaceae	tpl;tropicos;usda	 	
Briza maxima	Briza maxima		1	Accepted	Briza maxima	L.	Poaceae	tpl;tropicos;usda	 	
Bromus catharticus	Bromus catharticus		1	Accepted	Bromus catharticus	Vahl	Poaceae	tpl;tropicos;usda	 	
Bromus diandrus	Bromus diandrus		1	Accepted	Bromus diandrus	Roth	Poaceae	tpl;tropicos;usda	 	
Bromus diandrus	Bromus diandrus		1	Synonym	Bromus madritensis	L.	Poaceae	tpl	 	
Bromus diandrus	Bromus diandrus		1	Illegitimate		L.	Poaceae	tropicos	 	
Bromus hordeaceus	Bromus hordeaceus		1	Accepted	Bromus hordeaceus	L.	Poaceae	tpl;tropicos;usda	 	
Bromus hordeaceus	Bromus hordeaceus		1	Synonym	Bromus secalinus	L.	Poaceae	tpl	 	
Bromus hordeaceus	Bromus hordeaceus		1	Illegitimate				tropicos	 	
Bromus japonicus	Bromus japonicus		1	Accepted	Bromus japonicus	Thunb.	Poaceae	tpl	 	
Bromus japonicus	Bromus japonicus		1	No opinion				tpl	 	
Bromus japonicus	Bromus japonicus		1	Accepted	Bromus japonicus	Houtt.	Poaceae	tropicos	 	
Bromus japonicus	Bromus japonicus		1	Illegitimate		Thunb.	Poaceae	tropicos	 	
