Stachytarpheta urticifolia
Sterculia foetida
Stipa capensis
Stipa tenacissima
Striga asiatica
Striga aspera
Striga densiflora
Striga hermonthica
Strobilanthes hamiltoniana
Syzygium grande
Taeniatherum caput-medusae
Tamarix aphylla
Tamarix canariensis
Tamarix chinensis
Tamarix ramosissima
Tectona grandis
Tephrosia candida
Tephrosia vogelii
Thalictrum minus
Thlaspi arvense
Thlaspi perfoliatum
Tibouchina urvilleana
Toona ciliata
Toona sinensis
Torilis japonica
Toxicodendron succedaneum
Trachypogon spicatus
Trianthema portulacastrum
Trifolium angustifolium
Trifolium argutum
Trifolium constantinopolitanum
Trifolium isthmocarpum
Trifolium lappaceum
Trifolium ligusticum
Trifolium phleoides
Trifolium strictum
Trigonella maritima
Triplaris americana
Ulex europaeus
Ulva pertusa
Ulva reticulata
Urochloa decumbens
Urochloa panicoides
Vaccinium corymbosum
Vallisneria spiralis
Ventenata dubia
Verbena bonariensis
Veronica anagallis-aquatica
Veronica serpyllifolia
Vicia disperma
Vigna marina
Vinca major
Vulpia geniculata
Vulpia ligustica
Zaleya pentandra
Ziziphus spina-christi
Acer platanoides
Alopecurus pratensis
Anthemis triumfettii
Apera interrupta
Arceuthobium minutissimum
Arceuthobium pini
Artemisia capillaris
Astragalus galegiformis
Berberis vulgaris
Buddleja asiatica
Bunias orientalis
Carduus crispus
Carex ovalis
Centaurea diffusa
Centaurea iberica
Centaurea macrocephala
Centaurea virgata
Chrysanthemum macrophyllum
Clerodendrum wallichii
Cynoglossum officinale
Derris elliptica
Echinochloa glabrescens
Echinops sphaerocephalus
Elaeagnus angustifolia
Erechtites valerianifolius
Euonymus japonicus
Euphorbia esula
Festuca pratensis
Fragaria viridis
Geranium himalayense
Geranium nepalense
Glycosmis pentaphylla
Heliconia bihai
Hydrocharis morsus-ranae
Hyptis brevipes
Impatiens parviflora
Inula britannica
Iva xanthiifolia
Lamium galeobdolon
Lepidium perfoliatum
Lepidium pinnatifidum
Lespedeza juncea var. sericea
Lilium monadelphum
Limnophila chinensis
Linaria genistifolia
Lindernia anagallis
Lindernia antipoda
Lindernia ciliata
Lindernia procumbens
Lupinus polyphyllus
Macaranga tanarius
Mangifera sylvatica
Matricaria perforata
Medicago fischeriana
Medicago orthoceras
Mosla dianthera
Myagrum perfoliatum
Myosoton aquaticum
Persicaria perfoliata
Persicaria wallichii
Pilosella officinarum
Pimpinella saxifraga
Pluchea indica
Poa supina
Polygonum hydropiper
Polypogon fugax
Primula elatior
Pterocarpus macrocarpus
Pueraria montana var. thomsonii
Rorippa austriaca
Salix cinerea
Salsola paulsenii
Salvia verticillata
Salvinia auriculata
Schoenoplectus mucronatus
Scirpus grossus
Scrophularia scopolii
Secale sylvestre
Senna tora
Sphaerophysa salsula
Stachys byzantina
Stachys cretica
Stachys macrantha
Tanacetum balsamita
Tanacetum vulgare
Trifolium diffusum
Trifolium medium
Urena sinuata
Veronica biloba
Veronica chamaedrys
Vicia sepium
Xyris complanata
Zingiber capitatum
Zingiber montanum
Akebia quinata
Artemisia frigida
Calopogonium caeruleum
Carex kobomugi
Clerodendrum bungei
Erigeron annuus
Euonymus fortunei
Eupatorium trapezoideum
Fallopia japonica
Geum aleppicum
Glyceria maxima
Jasminum beesianum
Lathyrus palustris
Leersia japonica
Leonurus sibiricus
Lepidium appelianum
Ligustrum henryi
Liriope spicata
Lonicera maackii
Lonicera morrowii
Neslia paniculata
Pandanus tectorius
Phyllostachys aureosulcata
Prunus campanulata
Pueraria montana var. montana
Ranunculus cymbalaria
Rhamnus davurica
Rhododendron ponticum
Rhus typhina
Rosa rugosa
Rosa wichuraiana
Rubus cockburnianus
Rubus tricolor
Sanguisorba officinalis
Sargassum muticum
Sedum kamtschaticum
Solidago canadensis
Spiraea chamaedryfolia
Symphyotrichum novi-belgii
Thalictrum delavayi
Thalictrum simplex
Trachomitum venetum
Trifolium repens
Aconitum lycoctonum
Artemisia biennis
Beckmannia syzigachne
Bracteantha bracteata
Celastrus orbiculatus
Commelina paludosa
Cotoneaster amoenus
Cotoneaster moupinensis
Daucus carota
Elodea nuttallii
Euphorbia supina
Exochorda racemosa
Gaultheria shallon
Grateloupia turuturu
Lathyrus japonicus
Lonicera standishii
Mikania cordata
Nymphaea tetragona
Phedimus aizoon
Photinia beauverdiana
Photinia serratifolia
Phyllostachys bambusoides
Phyllostachys flexuosa
Phyllostachys nigra
Potamogeton natans
Reutealis trisperma
Reynoutria multiflora
Salsola collina
Sorghum sudanense
Spartina anglica
Undaria pinnatifida
Urtica cannabina
Acer pseudoplatanus
Alternanthera paronychioides
Anoda cristata
Avena sterilis subsp. ludoviciana
Cordia obliqua
Cryptocoryne retrospiralis
Dendrophthoe
Digitaria setigera
Eragrostis tenella
Erechtites glomerata
Fraxinus uhdei
Geranium pratense
Impatiens glandulifera
Ipomoea quamoclit
Lepidium didymum
Ludwigia perennis
Papaver somniferum
Parietaria judaica
Phyllanthus niruri
Polygonum plebeium
Rubus racemosus
Sagittaria sagittifolia
Sanchezia parvibracteata
Solanum indicum
Sonchus wightianus
Themeda arguens
Trifolium pratense
Turgenia latifolia
Wolffia arrhiza
Alpinia purpurata
Amaranthus tuberculatus
Austroeupatorium inulifolium
Brachiaria texana
Chloris pycnothrix
Cynoglossum glochidiatum
Desmazeria marina
Diplachne fusca
Enchylaena tomentosa
Eragrostis prolifera
Euphorbia lasiocarpa
Euphorbia maculata
Filipendula vulgaris
Gamochaeta pensylvanica
Gladiolus palustris
Heracleum persicum
Heterotheca subaxillaris
Juncus ensifolius
Lactuca serriola
Lepidium spinosum
Oenothera rosea
Orlaya grandiflora
Passiflora morifolia
Pyracantha coccinea
Rumex acetosa
Salvia pinnata
Schoenefeldia gracilis
Serratula quinquefolia
Sesuvium portulacastrum
Smilax excelsa
