Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Brachypodium sylvaticum,Brachypodium,,sylvaticum,NA,NA,,,kew-400100,TRUE,1.1,Accepted,Poaceae,Brachypodium,,sylvaticum,,,(Huds.) P.Beauv.,kew-400100,Accepted,FALSE,FALSE,FALSE,8/3/21
Poa compressa,Poa,,compressa,NA,NA,,,kew-435622,TRUE,1.1,Accepted,Poaceae,Poa,,compressa,,,L.,kew-435622,Accepted,FALSE,FALSE,FALSE,8/3/21
Arrhenatherum elatius,Arrhenatherum,,elatius,NA,NA,,,kew-395388,TRUE,1.1,Accepted,Poaceae,Arrhenatherum,,elatius,,,(L.) P.Beauv. ex J.Presl & C.Presl.,kew-395388,Accepted,FALSE,FALSE,FALSE,8/3/21
Deschampsia cespitosa,Deschampsia,,cespitosa,NA,NA,,,kew-407579,TRUE,1.1,Accepted,Poaceae,Deschampsia,,cespitosa,,,(L.) P.Beauv.,kew-407579,Accepted,FALSE,FALSE,FALSE,8/3/21
Elymus repens,Elymus,,repens,NA,NA,,,kew-411505,TRUE,1.1,Accepted,Poaceae,Elymus,,repens,,,(L.) Gould,kew-411505,Accepted,FALSE,FALSE,FALSE,8/3/21
Impatiens glandulifera,Impatiens,,glandulifera,NA,NA,,,kew-2862533,TRUE,1.1,Accepted,Balsaminaceae,Impatiens,,glandulifera,,,Royle,kew-2862533,Accepted,FALSE,FALSE,FALSE,8/3/21
Veronica serpyllifolia ssp. serpyllifolia,Veronica,,serpyllifolia,NA,ssp.,serpyllifolia,,tro-29202494,TRUE,1.1,Synonym,Plantaginaceae,Veronica,,serpyllifolia,,,L.,kew-2462094,Accepted,TRUE,FALSE,FALSE,8/3/21
Poa trivialis,Poa,,trivialis,NA,NA,,,kew-437547,TRUE,1.1,Accepted,Poaceae,Poa,,trivialis,,,L.,kew-437547,Accepted,FALSE,FALSE,FALSE,8/3/21
Acer pseudoplatanus,Acer,,pseudoplatanus,NA,NA,,,kew-2616276,TRUE,1.1,Accepted,Sapindaceae,Acer,,pseudoplatanus,,,L.,kew-2616276,Accepted,FALSE,FALSE,FALSE,8/3/21
Papaver dubium,Papaver,,dubium,NA,NA,,,kew-2560793,TRUE,1.1,Accepted,Papaveraceae,Papaver,,dubium,,,L.,kew-2560793,Accepted,FALSE,FALSE,FALSE,8/3/21
