acc_name,synonyms,acc_name_source,climate,Atlas,fl_nox,fed_nox,naturalized,weedy,occurrences,occurrences_new,words,jk_notes
Sanguisorba officinalis,"Poterium officinale, Sanguisorba microcephala, Sanguisorba officinalis, Sanguisorba officinalis ssp. microcephala, Sanguisorba officinalis var. polygama",ITIS,1,0,0,0,1,1,100458,110553,2,
Carlina vulgaris,,ITIS,1,0,0,0,1,1,98981,88405,2,
Rhamnus cathartica,,ITIS,1,0,0,0,1,1,97803,106710,2,
Rumex conglomeratus,,ITIS,1,0,0,0,1,1,97352,100239,2,
Miconia calvescens,,ITIS,1,0,0,0,1,1,94563,94624,2,
Bolboschoenus maritimus,"Bolboschoenus maritimus, Schoenoplectus maritimus, Scirpus maritimus",ITIS,1,0,0,0,1,1,93326,83210,2,
Plantago coronopus,"Plantago coronopus, Plantago coronopus ssp. commutata",ITIS,1,0,0,0,1,1,92062,94608,2,
Avena barbata,"Avena almeriensis, Avena barbata, Avena barbata subvar. hirsuta, Avena deusta, Avena hoppeana, Avena sallentiana, Avena sativa var. barbata, Avena sesquitertia, Avena strigosa ssp. barbata",ITIS,1,0,0,0,1,1,85037,79512,2,
Papaver dubium,,ITIS,1,0,0,0,1,1,84228,61108,2,
Carduus crispus,,ITIS,1,0,0,0,1,1,83302,84518,2,
Solidago canadensis,,ITIS,1,0,0,0,1,1,82801,108447,2,Similar problem to Calystegia sepium. S. canadansis var. scabra is native https://florida.plantatlas.usf.edu/Plant.aspx?id=3031 Possible synonymy/taxonomy/nomenclature problem here as well.
Malva moschata,"Malva moschata, Malva moschata var. rosea",ITIS,1,0,0,0,1,1,81528,81694,2,
Spergularia rubra,"Spergularia rubra, Spergularia rubra var. perennans, Tissa rubra",ITIS,1,0,0,0,1,1,80309,62912,2,
Senecio sylvaticus,"Senecio sylvatica, Senecio sylvaticus",ITIS,1,0,0,0,1,1,80270,158766,2,
Avena fatua,"Anelytrum avenaceum, Avena fatua, Avena fatua ssp. meridionalis, Avena fatua var. glabrata, Avena fatua var. intermedia, Avena fatua var. vilis, Avena intermedia, Avena lanuginosa, Avena meridionalis, Avena patens, Avena pilosa, Avena sativa var. fatua, Avena sativa var. sericea, Avena septentrionalis, Avena vilis",ITIS,1,0,0,0,1,1,78408,50278,2,
Poa compressa,"Paneion compressum, Poa compressa, Poa compressa f. depauperata, Poa compressa var. sylvestris",ITIS,1,0,0,0,1,1,74803,74042,2,
Scrophularia auriculata,,ITIS,1,0,0,0,1,1,72582,76925,2,
Myosoton aquaticum,"Alsine aquatica, Cerastium aquaticum, Malachium aquaticum, Myosoton aquaticum, Stellaria aquatica",ITIS,1,0,0,0,1,1,72493,64947,2,
Bistorta officinalis,"Bistorta officinalis, Persicaria bistorta, Polygonum bistorta, Polygonum bistorta var. bistorta",ITIS,1,0,0,0,1,1,72311,8761,2,
Salix fragilis,,ITIS,1,0,0,0,1,1,71717,52001,2,
