acc_name,selected,synonyms,naturalized,weedy,fed_nox,fl_nox,occurrences,occurrences_new,Atlas,climate,acc_name_source
Aeschynomene fluitans,0,Aeschynomene fluitans,0,0,0,0,95,89,1,1,Atlas
Aeschynomene indica,0,"Aeschynomene cachemiriana, Aeschynomene diffusa, Aeschynomene glaberrima, Aeschynomene herbacea, Aeschynomene indica, Aeschynomene indica var. punctata, Aeschynomene indica var. viscosa, Aeschynomene macropoda, Aeschynomene montana, Aeschynomene oligantha, Aeschynomene pumila, Aeschynomene quadrata, Aeschynomene roxburghii, Aeschynomene subviscosa, Aeschynomene viscidula, Hedysarum alpinum, Hedysarum neli-tali, Hedysarum virginicum, Smithia aspera",1,1,0,0,5086,5278,1,1,Atlas
Aetheorhiza bulbosa,0,Aetheorhiza bulbosa,1,1,0,0,1401,722,0,0,TNRS
Ageratina adenophora,0,"Ageratina adenophora, Eupatorium adenophorum, Eupatorium glandulosum, Eupatorium trapezoideum",1,1,1,1,0,6750,0,1,TNRS
Ageratina riparia,0,"Ageratina riparia, Eupatorium riparium",1,1,1,0,1702,1735,0,1,ITIS
Agropyron cristatum,0,"Agropyron cristatum, Avena cristata, Bromus cristatus, Costia cristata, Eremopyrum cristatum, Triticum cristatum, Zeia cristata",1,1,0,0,4241,3857,0,1,ITIS
Agrostis hyemalis,0,"Agrestis hyemalis, Agrostis antecedens, Agrostis aphanes, Agrostis canina var. hiemalis, Agrostis canina var. hyemalis, Agrostis hiemalis, Agrostis hyemalis, Agrostis hyemalis var. hyemalis, Agrostis hyemalis var. laxiflora, Agrostis laxiflora, Agrostis leptos, Agrostis michauxii var. laxiflorum, Cornucopiae hyemalis, Trichodium laxiflorum, Trichodium laxum",1,1,0,0,1642,3849,0,1,ITIS
Aizoon canariense,0,Aizoon canariense,1,1,0,0,898,759,0,1,TNRS
Ajuga chamaepitis,0,Ajuga chamaepitis,0,0,0,0,0,17575,0,0,CABI
Ajuga pyramidalis,0,Ajuga pyramidalis,1,1,0,0,48149,51380,0,0,TNRS
Akebia quinata,0,"Akebia micrantha, Akebia quinata, Akebia quinata forma albiflora, Akebia quinata forma diplochlamys, Akebia quinata forma polyphylla, Akebia quinata forma viridiflora, Akebia quinata var. diplochlamys, Akebia quinata var. polyphylla, Akebia quinata var. yechi, Rajania quinata",1,1,0,0,1613,2971,1,1,Atlas
